frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1015,0,5,5:916:366:268:119:0.4267;7:365:390:102:75:0.5035;7:532:379:104:85:0.7138;7:709:383:116:55:0.3514;7:823:425:241:65:0.1242,3,53:7:532:379:104:85;54:7:365:390:102:75;55:5:916:366:268:119,-1,NONE,inf
1016,0,5,5:937:362:263:114:0.5238;7:365:390:103:75:0.5898;7:534:379:104:84:0.4594;7:717:382:101:54:0.1850;7:811:426:269:66:0.1410,3,53:7:534:379:104:84;54:7:365:390:103:75;55:5:937:362:263:114,-1,NONE,inf
1017,0,5,5:938:360:275:120:0.4563;7:366:390:102:75:0.4690;7:537:378:104:84:0.6001;7:756:381:70:51:0.1834;7:806:423:290:71:0.2536,3,53:7:537:378:104:84;54:7:366:390:102:75;55:5:938:360:275:120,-1,NONE,inf
1018,0,6,5:955:355:276:132:0.5239;7:367:389:104:77:0.5454;7:538:377:106:86:0.6212;7:763:380:68:52:0.2213;7:800:395:159:98:0.4534;7:815:424:294:70:0.1536,4,53:7:538:377:106:86;54:7:367:389:104:77;55:5:955:355:276:132;56:7:800:395:159:98,-1,NONE,inf
1019,0,6,5:956:355:300:133:0.1411;7:368:389:104:77:0.6411;7:539:376:107:87:0.8153;7:719:379:117:81:0.2667;7:785:331:174:161:0.3697;7:814:422:310:72:0.1376,4,53:7:539:376:107:87;54:7:368:389:104:77;55:5:956:355:300:133;56:7:785:331:174:161,-1,NONE,inf
1020,0,5,5:369:389:105:77:0.4929;5:965:352:313:139:0.2142;7:541:375:108:89:0.8909;7:770:378:70:54:0.2028;7:802:396:157:97:0.4293,4,53:7:541:375:108:89;54:5:369:389:105:77;55:5:965:352:313:139;56:7:802:396:157:97,-1,NONE,inf
1021,0,4,7:373:388:103:79:0.3743;7:545:373:107:89:0.2945;7:776:377:74:58:0.2336;7:862:419:308:78:0.1010,3,53:7:545:373:107:89;54:7:373:388:103:79;56:7:862:419:308:78,-1,NONE,inf
1022,0,4,7:376:389:104:78:0.4748;7:548:373:110:91:0.7855;7:779:376:78:59:0.2295;7:839:350:440:148:0.3677,3,53:7:548:373:110:91;54:7:376:389:104:78;56:7:839:350:440:148,-1,NONE,inf
1023,0,5,7:378:388:105:78:0.4672;7:552:372:110:91:0.8236;7:784:375:79:56:0.2606;7:805:332:154:161:0.3746;7:890:347:389:151:0.3557,4,53:7:552:372:110:91;54:7:378:388:105:78;55:7:805:332:154:161;56:7:890:347:389:151,-1,NONE,inf
1024,0,5,7:381:386:105:81:0.4983;7:555:371:111:92:0.6383;7:791:373:74:59:0.1603;7:814:333:145:161:0.3830;7:878:344:401:156:0.3660,4,53:7:555:371:111:92;54:7:381:386:105:81;55:7:814:333:145:161;56:7:878:344:401:156,-1,NONE,inf
