frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
483,0,4,2:512:447:18:16:0.2860;2:548:452:31:24:0.8111;7:320:401:37:64:0.3574;7:681:343:278:163:0.5128,4,38:2:548:452:31:24;40:7:681:343:278:163;42:7:320:401:37:64;43:2:512:447:18:16,38,SAFE,inf
484,0,4,2:512:447:18:16:0.3063;2:548:451:32:26:0.8022;7:320:400:37:66:0.3809;7:683:335:276:174:0.7125,4,38:2:548:451:32:26;40:7:683:335:276:174;42:7:320:400:37:66;43:2:512:447:18:16,38,SAFE,inf
485,0,4,2:511:447:19:17:0.3082;2:549:451:32:26:0.8019;7:320:399:37:66:0.4927;7:686:333:273:174:0.6563,4,38:2:549:451:32:26;40:7:686:333:273:174;42:7:320:399:37:66;43:2:511:447:19:17,38,SAFE,inf
486,0,4,2:511:447:19:17:0.2792;2:549:451:32:26:0.8188;7:320:399:37:66:0.3704;7:687:330:272:179:0.7199,4,38:2:549:451:32:26;40:7:687:330:272:179;42:7:320:399:37:66;43:2:511:447:19:17,38,SAFE,inf
487,0,4,2:511:447:19:17:0.3047;2:549:451:32:26:0.8127;7:320:399:37:65:0.2491;7:690:334:269:178:0.7034,4,38:2:549:451:32:26;40:7:690:334:269:178;42:7:320:399:37:65;43:2:511:447:19:17,38,SAFE,30.556
488,0,3,2:511:447:19:17:0.3658;2:550:451:33:26:0.7915;7:694:326:265:186:0.7183,3,38:2:550:451:33:26;40:7:694:326:265:186;43:2:511:447:19:17,38,SAFE,21.899
489,0,4,2:512:446:18:18:0.2500;2:551:451:32:25:0.8256;7:320:401:33:63:0.4007;7:697:326:262:187:0.6921,4,38:2:551:451:32:25;40:7:697:326:262:187;42:7:320:401:33:63;43:2:512:446:18:18,38,SAFE,39.973
490,0,4,2:511:446:19:17:0.2715;2:551:450:32:25:0.8151;7:320:401:33:62:0.4585;7:702:321:257:195:0.7501,4,38:2:551:450:32:25;40:7:702:321:257:195;42:7:320:401:33:62;43:2:511:446:19:17,38,SAFE,26.348
491,0,4,2:512:445:19:18:0.3438;2:551:451:32:24:0.8106;7:320:401:33:61:0.4290;7:704:322:255:194:0.8148,4,38:2:551:451:32:24;40:7:704:322:255:194;42:7:320:401:33:61;43:2:512:445:19:18,38,SAFE,40.812
492,0,4,2:512:445:19:17:0.3429;2:551:450:32:25:0.7668;7:320:401:32:61:0.4215;7:708:318:251:203:0.8229,4,38:2:551:450:32:25;40:7:708:318:251:203;42:7:320:401:32:61;43:2:512:445:19:17,38,SAFE,inf
493,0,5,2:512:445:19:17:0.3072;2:551:450:33:25:0.7120;2:909:451:89:65:0.1033;7:320:400:30:62:0.2703;7:712:318:247:200:0.8483,4,38:2:551:450:33:25;40:7:712:318:247:200;42:7:320:400:30:62;43:2:512:445:19:17,38,SAFE,inf
494,0,3,2:512:445:19:17:0.3908;2:551:450:33:25:0.6675;7:717:311:242:212:0.7016,3,38:2:551:450:33:25;40:7:717:311:242:212;43:2:512:445:19:17,38,SAFE,inf
495,0,3,2:512:445:19:17:0.3897;2:552:450:32:25:0.7216;7:721:310:238:215:0.8219,3,38:2:552:450:32:25;40:7:721:310:238:215;43:2:512:445:19:17,38,SAFE,inf
496,0,3,2:512:445:19:18:0.4435;2:552:450:33:25:0.7411;7:725:305:234:221:0.7462,3,38:2:552:450:33:25;40:7:725:305:234:221;43:2:512:445:19:18,38,SAFE,inf
