frame,time_sec,rank,best_class_id,best_class_name,best_score,second_class_id,second_class_name,second_score,third_class_id,third_class_name,third_score,car_score,bus_score,train_score,truck_score,boat_score,left,top,width,height,right,bottom,touches_right_edge,passes_confidence_010,passes_target_class,passes_final_filter
548,18.252,5,4,airplane,0.003506,25,umbrella,0.002816,8,boat,0.001078,0.000190,0.000075,0.000249,0.000139,0.001078,1130,382,149,35,1279,417,1,0,0,0
548,18.252,6,4,airplane,0.003478,25,umbrella,0.002344,8,boat,0.001386,0.000216,0.000054,0.000271,0.000070,0.001386,1126,385,153,31,1279,416,1,0,0,0
548,18.252,7,4,airplane,0.002658,25,umbrella,0.001019,8,boat,0.000670,0.000021,0.000047,0.000023,0.000047,0.000670,1139,386,140,26,1279,412,1,0,0,0
548,18.252,8,4,airplane,0.001659,25,umbrella,0.001298,8,boat,0.000552,0.000091,0.000011,0.000058,0.000024,0.000552,1128,368,151,46,1279,414,1,0,0,0
548,18.252,9,4,airplane,0.001652,8,boat,0.000362,33,kite,0.000296,0.000098,0.000040,0.000211,0.000109,0.000362,1064,392,215,34,1279,426,1,0,0,0
548,18.252,10,4,airplane,0.001622,25,umbrella,0.000967,8,boat,0.000440,0.000064,0.000011,0.000087,0.000022,0.000440,1128,367,151,47,1279,414,1,0,0,0
548,18.252,11,2,car,0.001603,8,boat,0.000626,37,surfboard,0.000194,0.001603,0.000012,0.000030,0.000165,0.000626,1096,580,137,27,1233,607,1,0,1,0
548,18.252,12,4,airplane,0.001331,8,boat,0.000645,25,umbrella,0.000523,0.000018,0.000023,0.000010,0.000029,0.000645,1176,386,103,27,1279,413,1,0,0,0
548,18.252,13,8,boat,0.001255,2,car,0.000424,37,surfboard,0.000382,0.000424,0.000003,0.000004,0.000034,0.001255,1099,577,128,25,1227,602,1,0,0,0
548,18.252,14,4,airplane,0.001202,8,boat,0.000270,25,umbrella,0.000207,0.000090,0.000022,0.000092,0.000032,0.000270,1124,378,155,42,1279,420,1,0,0,0
548,18.252,15,58,potted plant,0.001165,15,cat,0.000021,46,banana,0.000021,0.000002,0.000001,0.000004,0.000003,0.000003,629,91,420,368,1049,459,0,0,0,0
548,18.252,16,58,potted plant,0.000939,15,cat,0.000038,55,cake,0.000031,0.000004,0.000001,0.000004,0.000004,0.000004,629,86,418,369,1047,455,0,0,0,0
548,18.252,17,2,car,0.000913,8,boat,0.000440,4,airplane,0.000166,0.000913,0.000009,0.000028,0.000096,0.000440,1096,575,171,36,1267,611,1,0,1,0
548,18.252,18,4,airplane,0.000910,25,umbrella,0.000843,8,boat,0.000384,0.000060,0.000018,0.000065,0.000043,0.000384,1129,361,150,53,1279,414,1,0,0,0
